5;1
GDAS;20;11;8;0;0
GDAS;20;11;15;0;0
GDAS;20;11;22;0;0
GDAS;20;11;29;0;0
GDAS;20;12;1;0;0
3;FORWARD;OMEGA
20;11;20;0;62.085;49.588;100.0
20;11;20;0;62.085;49.588;500.0
20;11;20;0;62.085;49.588;1000.0
1;PRESSURE
1;1;20;11;20;0;0;0;0.0;62.085;49.588;100.0;976.2
2;1;20;11;20;0;0;0;0.0;62.085;49.588;500.0;929.9
3;1;20;11;20;0;0;0;0.0;62.085;49.588;1000.0;873.6
1;1;20;11;20;1;0;1;1.0;62.334;50.140;75.5;977.6
2;1;20;11;20;1;0;1;1.0;62.462;50.686;454.2;930.8
3;1;20;11;20;1;0;1;1.0;62.403;51.066;974.5;871.8
1;1;20;11;20;2;0;2;2.0;62.593;50.688;70.8;974.1
2;1;20;11;20;2;0;2;2.0;62.864;51.791;474.9;923.2
3;1;20;11;20;2;0;2;2.0;62.729;52.571;991.8;863.1
1;1;20;11;20;3;0;3;3.0;62.889;51.312;81.8;970.4
2;1;20;11;20;3;0;3;3.0;63.281;52.942;458.9;920.0
3;1;20;11;20;3;0;3;3.0;63.047;54.099;981.8;867.1
1;1;20;11;20;4;0;2;4.0;63.184;51.950;76.1;970.1
2;1;20;11;20;4;0;2;4.0;63.705;54.086;453.8;925.3
3;1;20;11;20;4;0;2;4.0;63.323;55.650;987.9;864.4
1;1;20;11;20;5;0;1;5.0;63.455;52.567;65.0;968.4
2;1;20;11;20;5;0;1;5.0;64.134;55.311;488.7;919.4
3;1;20;11;20;5;0;1;5.0;63.639;57.208;965.4;871.9
1;1;20;11;20;6;0;0;6.0;63.684;53.165;24.2;973.6
2;1;20;11;20;6;0;0;6.0;64.542;56.615;481.2;926.6
3;1;20;11;20;6;0;0;6.0;63.931;58.905;1001.8;846.6
1;1;20;11;20;7;0;1;7.0;63.876;53.656;4.8;977.8
2;1;20;11;20;7;0;1;7.0;64.964;57.907;547.1;920.8
3;1;20;11;20;7;0;1;7.0;64.061;60.849;885.1;876.7
1;1;20;11;20;8;0;2;8.0;64.076;54.095;9.1;979.7
2;1;20;11;20;8;0;2;8.0;65.387;59.326;634.1;870.0
3;1;20;11;20;8;0;2;8.0;64.243;62.474;822.2;884.7
1;1;20;11;20;9;0;3;9.0;64.284;54.536;15.8;977.5
2;1;20;11;20;9;0;3;9.0;65.696;61.166;527.2;897.5
3;1;20;11;20;9;0;3;9.0;64.422;64.136;745.2;902.1
1;1;20;11;20;10;0;2;10.0;64.486;55.001;13.1;976.8
2;1;20;11;20;10;0;2;10.0;65.930;62.956;464.0;882.9
3;1;20;11;20;10;0;2;10.0;64.569;65.826;732.9;913.2
1;1;20;11;20;11;0;1;11.0;64.671;55.461;4.8;979.8
2;1;20;11;20;11;0;1;11.0;66.145;64.392;337.9;942.4
3;1;20;11;20;11;0;1;11.0;64.673;67.525;824.3;892.8
1;1;20;11;20;12;0;0;12.0;64.851;55.917;0.0;982.5
2;1;20;11;20;12;0;0;12.0;66.401;65.688;333.6;934.1
3;1;20;11;20;12;0;0;12.0;64.695;69.129;817.6;891.6
1;1;20;11;20;13;0;1;13.0;65.035;56.364;0.0;983.3
2;1;20;11;20;13;0;1;13.0;66.632;67.058;324.1;940.0
3;1;20;11;20;13;0;1;13.0;64.685;70.699;835.0;889.8
1;1;20;11;20;14;0;2;14.0;65.236;56.837;0.0;984.7
